"","X","text"
"61",8,"but no friends. And the same thing must hold true of men who seek intimate acquaintance with no single author"
"62",8,"but visit them all in a hasty and hurried manner. Food does no good and is not assimilated into the body if it leaves the stomach as soon as it is eaten; nothing hinders a cure so much as frequent change of medicine; no wound will heal when one salve is tried after another; a plant which is often moved can never grow strong. There is nothing so efficacious that it can be helpful while it is being shifted about. And in reading of many books is distraction."
"63",9,"Accordingly"
"64",9,"since you cannot read all the books which you may possess"
"65",9,"it is enough to possess only as many books as you can read. ""But"
"66",9,""" you reply"
"67",9,"""I wish to dip first into one book and then into another."" I tell you that it is the sign of an overnice appetite to toy with many dishes; for when they are manifold and varied"
"68",9,"they cloy but do not nourish. So you should always read standard authors; and when you crave a change"
"69",9,"fall back upon those whom you read before. Each day acquire something that will fortify you against poverty"
"70",9,"against death"
"71",9,"indeed against other misfortunes as well; and after you have run over many thoughts"
"72",9,"select one to be thoroughly digested that day. This is my own custom; from the many things which I have read"
"73",9,"I claim some one part for myself."
"74",10,"The thought for to-day is one which I discovered in Epicurus; for I am wont to cross over even into the enemy's camp"
"75",10,"– not as a deserter"
"76",10,"but as a scout. He says: ""Contented poverty is an honourable estate."" Indeed"
"77",10,"if it be contented"
"78",10,"it is not poverty at all. It is not the man who has too little"
"79",10,"but the man who craves more"
"80",10,"that is poor. What does it matter how much a man has laid up in his safe"
"81",10,"or in his warehouse"
"82",10,"how large are his flocks and how fat his dividends"
"83",10,"if he covets his neighbour's property"
"84",10,"and reckons"
"85",10,"not his past gains"
"86",10,"but his hopes of gains to come? Do you ask what is the proper limit to wealth? It is"
"87",10,"first"
"88",10,"to have what is necessary"
"89",10,"and"
"90",10,"second"
"91",10,"to have what is enough. Farewell."
"92",11,"III. On True and False Friendship"
"93",12,"You have sent a letter to me through the hand of a ""friend"" of yours"
"94",12,"as you call him. And in your very next sentence you warn me not to discuss with him all the matters that concern you"
"95",12,"saying that even you yourself are not accustomed to do this; in other words"
"96",12,"you have in the same letter affirmed and denied that he is your friend. Now if you used this word of ours in the popular sense"
"97",12,"and called him ""friend"" in the same way in which we speak of all candidates for election as ""honourable gentlemen"
"98",12,""" and as we greet all men whom we meet casually"
"99",12,"if their names slip us for the moment"
"100",12,"with the salutation ""my dear sir"
"101",12,""" – so be it. But if you consider any man a friend whom you do not trust as you trust yourself"
"102",12,"you are mightily mistaken and you do not sufficiently understand what true friendship means. Indeed"
"103",12,"I would have you discuss everything with a friend; but first of all discuss the man himself. When friendship is settled"
"104",12,"you must trust; before friendship is formed"
"105",12,"you must pass judgment. Those persons indeed put last first and confound their duties"
"106",12,"who"
"107",12,"violating the rules of Theophrastus"
"108",12,"judge a man after they have made him their friend"
"109",12,"instead of making him their friend after they have judged him. Ponder for a long time whether you shall admit a given person to your friendship; but when you have decided to admit him"
"110",12,"welcome him with all your heart and soul. Speak as boldly with him as with yourself. As to yourself"
"111",12,"although you should live in such a way that you trust your own self with nothing which you could not entrust even to your enemy"
"112",12,"yet"
"113",12,"since certain matters occur which convention keeps secret"
"114",12,"you should share with a friend at least all your worries and reflections. Regard him as loyal"
"115",12,"and you will make him loyal. Some"
"116",12,"for example"
"117",12,"fearing to be deceived"
"118",12,"have taught men to deceive; by their suspicions they have given their friend the right to do wrong. Why need I keep back any words in the presence of my friend? Why should I not regard myself as alone when in his company?"
"119",13,"There is a class of men who communicate"
"120",13,"to anyone whom they meet"
"121",13,"matters which should be revealed to friends alone"
"122",13,"and unload upon the chance listener whatever irks them. Others"
"123",13,"again"
"124",13,"fear to confide in their closest intimates; and if it were possible"
"125",13,"they would not trust even themselves"
"126",13,"burying their secrets deep in their hearts. But we should do neither. It is equally faulty to trust everyone and to trust no one. Yet the former fault is"
"127",13,"I should say"
"128",13,"the more ingenuous"
"129",13,"the latter the more safe. In like manner you should rebuke these two kinds of men"
"130",13,"– both those who always lack repose"
"131",13,"and those who are always in repose. For love of bustle is not industry"
"132",13,"– it is only the restlessness of a hunted mind. And true repose does not consist in condemning all motion as merely vexation; that kind of repose is slackness and inertia. Therefore"
"133",13,"you should note the following saying"
"134",13,"taken from my reading in Pomponius: ""Some men shrink into dark corners"
"135",13,"to such a degree that they see darkly by day."" No"
"136",13,"men should combine these tendencies"
"137",13,"and he who reposes should act and he who acts should take repose. Discuss the problem with Nature; she will tell you that she has created both day and night. Farewell."
"138",14,"IV. On the Terrors of Death"
"139",15,"Keep on as you have begun"
"140",15,"and make all possible haste"
"141",15,"so that you may have longer enjoyment of an improved mind"
"142",15,"one that is at peace with itself. Doubtless you will derive enjoyment during the time when you are improving your mind and setting it at peace with itself; but quite different is the pleasure which comes from contemplation when one's mind is so cleansed from every stain that it shines. You remember"
"143",15,"of course"
"144",15,"what joy you felt when you laid aside the garments of boyhood and donned the man's toga"
"145",15,"and were escorted to the forum; nevertheless"
"146",15,"you may look for a still greater joy when you have laid aside the mind of boyhood and when wisdom has enrolled you among men. For it is not boyhood that still stays with us"
"147",15,"but something worse"
"148",15,"– boyishness. And this condition is all the more serious because we possess the authority of old age"
"149",15,"together with the follies of boyhood"
"150",15,"yea"
"151",15,"even the follies of infancy. Boys fear trifles"
"152",15,"children fear shadows"
"153",15,"we fear both."
"154",16,"All you need to do is to advance; you will thus understand that some things are less to be dreaded"
"155",16,"precisely because they inspire us with great fear. No evil is great which is the last evil of all. Death arrives; it would be a thing to dread"
"156",16,"if it could remain with you. But death must either not come at all"
"157",16,"or else must come and pass away."
"158",17,"""It is difficult"
"159",17,"however"
"160",17,""" you say"
"161",17,"""to bring the mind to a point where it can scorn life."" But do you not see what trifling reasons impel men to scorn life? One hangs himself before the door of his mistress; another hurls himself from the house-top that he may no longer be compelled to bear the taunts of a bad-tempered master; a third"
"162",17,"to be saved from arrest after running away"
"163",17,"drives a sword into his vitals. Do you not suppose that virtue will be as efficacious as excessive fear? No man can have a peaceful life who thinks too much about lengthening it"
"164",17,"or believes that living through many consulships is a great blessing. Rehearse this thought every day"
"165",17,"that you may be able to depart from life contentedly; for many men clutch and cling to life"
"166",17,"even as those who are carried down a rushing stream clutch and cling to briars and sharp rocks."
"167",18,"Most men ebb and flow in wretchedness between the fear of death and the hardships of life; they are unwilling to live"
"168",18,"and yet they do not know how to die. For this reason"
"169",18,"make life as a whole agreeable to yourself by banishing all worry about it. No good thing renders its possessor happy"
"170",18,"unless his mind is reconciled to the possibility of loss; nothing"
"171",18,"however"
"172",18,"is lost with less discomfort than that which"
"173",18,"when lost"
"174",18,"cannot be missed. Therefore"
"175",18,"encourage and toughen your spirit against the mishaps that afflict even the most powerful. For example"
"176",18,"the fate of Pompey was settled by a boy and a eunuch"
"177",18,"that of Crassus by a cruel and insolent Parthian. Gaius Caesar ordered Lepidus to bare his neck for the axe of the tribune Dexter; and he himself offered his own throat to Chaerea. No man has ever been so far advanced by Fortune that she did not threaten him as greatly as she had previously indulged him. Do not trust her seeming calm; in a moment the sea is moved to its depths. The very day the ships have made a brave show in the games"
"178",18,"they are engulfed. Reflect that a highwayman or an enemy may cut your throat; and"
"179",18,"though he is not your master"
"180",18,"every slave wields the power of life and death over you. Therefore I declare to you: he is lord of your life that scorns his own. Think of those who have perished through plots in their own homes"
"181",18,"slain either openly or by guile; you will then understand that just as many have been killed by angry slaves as by angry kings. What matter"
"182",18,"therefore"
"183",18,"how powerful he be whom you fear"
"184",18,"when every one possesses the power which inspires your fear? ""But"
"185",18,""" you will say"
"186",18,"""if you should chance to fall into the hands of the enemy"
"187",18,"the conqueror will command that you be led away"
"188",18,""" – yes"
"189",18,"whither you are already being led. Why do you voluntarily deceive yourself and require to be told now for the first time what fate it is that you have long been labouring under? Take my word for it: since the day you were born you are being led thither. We must ponder this thought"
"190",18,"and thoughts of the like nature"
"191",18,"if we desire to be calm as we await that last hour"
"192",18,"the fear of which makes all previous hours uneasy."
"193",19,"But I must end my letter. Let me share with you the saying which pleased me to-day. It"
"194",19,"too"
"195",19,"is culled from another man's Garden: ""Poverty brought into conformity with the law of nature"
"196",19,"is great wealth."" Do you know what limits that law of nature ordains for us? Merely to avert hunger"
"197",19,"thirst"
"198",19,"and cold. In order to banish hunger and thirst"
"199",19,"it is not necessary for you to pay court at the doors of the purse-proud"
"200",19,"or to submit to the stern frown"
"201",19,"or to the kindness that humiliates; nor is it necessary for you to scour the seas"
"202",19,"or go campaigning; nature's needs are easily provided and ready to hand. It is the superfluous things for which men sweat"
"203",19,"– the superfluous things that wear our togas threadbare"
"204",19,"that force us to grow old in camp"
"205",19,"that dash us upon foreign shores. That which is enough is ready to our hands. He who has made a fair compact with poverty is rich. Farewell."
"206",20,"V. On the Philosopher's Mean"
"207",21,"I commend you and rejoice in the fact that you are persistent in your studies"
"208",21,"and that"
"209",21,"putting all else aside"
"210",21,"you make it each day your endeavour to become a better man. I do not merely exhort you to keep at it; I actually beg you to do so. I warn you"
"211",21,"however"
"212",21,"not to act after the fashion of those who desire to be conspicuous rather than to improve"
"213",21,"by doing things which will rouse comment as regards your dress or general way of living. Repellent attire"
"214",21,"unkempt hair"
"215",21,"slovenly beard"
"216",21,"open scorn of silver dishes"
"217",21,"a couch on the bare earth"
"218",21,"and any other perverted forms of self-display"
"219",21,"are to be avoided. The mere name of philosophy"
"220",21,"however quietly pursued"
"221",21,"is an object of sufficient scorn; and what would happen if we should begin to separate ourselves from the customs of our fellow-men? Inwardly"
"222",21,"we ought to be different in all respects"
"223",21,"but our exterior should conform to society. Do not wear too fine"
"224",21,"nor yet too frowzy"
"225",21,"a toga. One needs no silver plate"
"226",21,"encrusted and embossed in solid gold; but we should not believe the lack of silver and gold to be proof of the simple life. Let us try to maintain a higher standard of life than that of the multitude"
"227",21,"but not a contrary standard; otherwise"
"228",21,"we shall frighten away and repel the very persons whom we are trying to improve. We also bring it about that they are unwilling to imitate us in anything"
"229",21,"because they are afraid lest they might be compelled to imitate us in everything."
"230",22,"The first thing which philosophy undertakes to give is fellow-feeling with all men; in other words"
"231",22,"sympathy and sociability. We part company with our promise if we are unlike other men. We must see to it that the means by which we wish to draw admiration be not absurd and odious. Our motto"
"232",22,"as you know"
"233",22,"is ""Live according to Nature""; but it is quite contrary to nature to torture the body"
"234",22,"to hate unlaboured elegance"
"235",22,"to be dirty on purpose"
"236",22,"to eat food that is not only plain"
"237",22,"but disgusting and forbidding. Just as it is a sign of luxury to seek out dainties"
"238",22,"so it is madness to avoid that which is customary and can be purchased at no great price. Philosophy calls for plain living"
"239",22,"but not for penance; and we may perfectly well be plain and neat at the same time. This is the mean of which I approve; our life should observe a happy medium between the ways of a sage and the ways of the world at large; all men should admire it"
"240",22,"but they should understand it also."
"241",23,"""Well then"
"242",23,"shall we act like other men? Shall there be no distinction between ourselves and the world?"" Yes"
"243",23,"a very great one; let men find that we are unlike the common herd"
"244",23,"if they look closely. If they visit us at home"
"245",23,"they should admire us"
"246",23,"rather than our household appointments. He is a great man who uses earthenware dishes as if they were silver; but he is equally great who uses silver as if it were earthenware. It is the sign of an unstable mind not to be able to endure riches."
"247",24,"But I wish to share with you to-day's profit also. I find in the writings of our Hecato that the limiting of desires helps also to cure fears: ""Cease to hope"
"248",24,""" he says"
"249",24,"""and you will cease to fear."" ""But how"
"250",24,""" you will reply"
"251",24,"""can things so different go side by side?"" In this way"
"252",24,"my dear Lucilius: though they do seem at variance"
"253",24,"yet they are really united. Just as the same chain fastens the prisoner and the soldier who guards him"
"254",24,"so hope and fear"
"255",24,"dissimilar as they are"
"256",24,"keep step together; fear follows hope. I am not surprised that they proceed in this way; each alike belongs to a mind that is in suspense"
"257",24,"a mind that is fretted by looking forward to the future. But the chief cause of both these ills is that we do not adapt ourselves to the present"
"258",24,"but send our thoughts a long way ahead. And so foresight"
"259",24,"the noblest blessing of the human race"
"260",24,"becomes perverted. Beasts avoid the dangers which they see"
"261",24,"and when they have escaped them are free from care; but we men torment ourselves over that which is to come as well as over that which is past. Many of our blessings bring bane to us; for memory recalls the tortures of fear"
"262",24,"while foresight anticipates them. The present alone can make no man wretched. Farewell."
"263",25,"VI. On Sharing Knowledge"
"264",26,"I feel"
"265",26,"my dear Lucilius"
"266",26,"that I am being not only reformed"
"267",26,"but transformed. I do not yet"
"268",26,"however"
"269",26,"assure myself"
"270",26,"or indulge the hope"
"271",26,"that there are no elements left in me which need to be changed. Of course there are many that should be made more compact"
"272",26,"or made thinner"
"273",26,"or be brought into greater prominence. And indeed this very fact is proof that my spirit is altered into something better"
"274",26,"– that it can see its own faults"
"275",26,"of which it was previously ignorant. In certain cases sick men are congratulated because they themselves have perceived that they are sick."
"276",27,"I therefore wish to impart to you this sudden change in myself; I should then begin to place a surer trust in our friendship"
"277",27,"– the true friendship which hope and fear and self-interest cannot sever"
"278",27,"the friendship in which and for the sake of which men meet death. I can show you many who have lacked"
"279",27,"not a friend"
"280",27,"but a friendship; this"
"281",27,"however"
"282",27,"cannot possibly happen when souls are drawn together by identical inclinations into an alliance of honourable desires. And why can it not happen? Because in such cases men know that they have all things in common"
"283",27,"especially their troubles."
"284",28,"You cannot conceive what distinct progress I notice that each day brings to me. And when you say: ""Give me also a share in these gifts which you have found so helpful"
"285",28,""" I reply that I am anxious to heap all these privileges upon you"
"286",28,"and that I am glad to learn in order that I may teach. Nothing will ever please me"
"287",28,"no matter how excellent or beneficial"
"288",28,"if I must retain the knowledge of it to myself. And if wisdom were given me under the express condition that it must be kept hidden and not uttered"
"289",28,"I should refuse it. No good thing is pleasant to possess"
"290",28,"without friends to share it."
"291",29,"I shall therefore send to you the actual books; and in order that you may not waste time in searching here and there for profitable topics"
"292",29,"I shall mark certain passages"
"293",29,"so that you can turn at once to those which I approve and admire. Of course"
"294",29,"however"
"295",29,"the living voice and the intimacy of a common life will help you more than the written word. You must go to the scene of action"
"296",29,"first"
"297",29,"because men put more faith in their eyes than in their ears"
"298",29,"and second"
"299",29,"because the way is long if one follows precepts"
"300",29,"but short and helpful"
"301",29,"if one follows patterns. Cleanthes could not have been the express image of Zeno"
"302",29,"if he had merely heard his lectures; he shared in his life"
"303",29,"saw into his hidden purposes"
"304",29,"and watched him to see whether he lived according to his own rules. Plato"
"305",29,"Aristotle"
"306",29,"and the whole throng of sages who were destined to go each his different way"
"307",29,"derived more benefit from the character than from the words of Socrates. It was not the class-room of Epicurus"
"308",29,"but living together under the same roof"
"309",29,"that made great men of Metrodorus"
"310",29,"Hermarchus"
"311",29,"and Polyaenus. Therefore I summon you"
"312",29,"not merely that you may derive benefit"
"313",29,"but that you may confer benefit; for we can assist each other greatly."
"314",30,"Meanwhile"
"315",30,"I owe you my little daily contribution; you shall be told what pleased me to-day in the writings of Hecato; it is these words: ""What progress"
"316",30,"you ask"
"317",30,"have I made? I have begun to be a friend to myself."" That was indeed a great benefit; such a person can never be alone. You may be sure that such a man is a friend to all mankind. Farewell."
"318",31,"VII. On Crowds"
"319",32,"Do you ask me what you should regard as especially to be avoided? I say"
"320",32,"crowds; for as yet you cannot trust yourself to them with safety. I shall admit my own weakness"
"321",32,"at any rate; for I never bring back home the same character that I took abroad with me. Something of that which I have forced to be calm within me is disturbed; some of the foes that I have routed return again. Just as the sick man"
"322",32,"who has been weak for a long time"
"323",32,"is in such a condition that he cannot be taken out of the house without suffering a relapse"
"324",32,"so we ourselves are affected when our souls are recovering from a lingering disease. To consort with the crowd is harmful; there is no person who does not make some vice attractive to us"
"325",32,"or stamp it upon us"
"326",32,"or taint us unconsciously therewith. Certainly"
"327",32,"the greater the mob with which we mingle"
"328",32,"the greater the danger."
"329",33,"But nothing is so damaging to good character as the habit of lounging at the games; for then it is that vice steals subtly upon one through the avenue of pleasure. What do you think I mean? I mean that I come home more greedy"
"330",33,"more ambitious"
"331",33,"more voluptuous"
"332",33,"and even more cruel and inhuman"
"333",33,"– because I have been among human beings. By chance I attended a mid-day exhibition"
"334",33,"expecting some fun"
"335",33,"wit"
"336",33,"and relaxation"
"337",33,"– an exhibition at which men's eyes have respite from the slaughter of their fellow-men. But it was quite the reverse. The previous combats were the essence of compassion; but now all the trifling is put aside and it is pure murder. The men have no defensive armour. They are exposed to blows at all points"
"338",33,"and no one ever strikes in vain. Many persons prefer this programme to the usual pairs and to the bouts ""by request."" Of course they do; there is no helmet or shield to deflect the weapon. What is the need of defensive armour"
"339",33,"or of skill? All these mean delaying death. In the morning they throw men to the lions and the bears; at noon"
"340",33,"they throw them to the spectators. The spectators demand that the slayer shall face the man who is to slay him in his turn; and they always reserve the latest conqueror for another butchering. The outcome of every fight is death"
"341",33,"and the means are fire and sword. This sort of thing goes on while the arena is empty. You may retort: ""But he was a highway robber; he killed a man!"" And what of it? Granted that"
"342",33,"as a murderer"
"343",33,"he deserved this punishment"
"344",33,"what crime have you committed"
"345",33,"poor fellow"
"346",33,"that you should deserve to sit and see this show? In the morning they cried ""Kill him! Lash him! Burn him! Why does he meet the sword in so cowardly a way? Why does he strike so feebly? Why doesn't he die game? Whip him to meet his wounds! Let them receive blow for blow"
"347",33,"with chests bare and exposed to the stroke!"" And when the games stop for the intermission"
"348",33,"they announce: ""A little throat-cutting in the meantime"
"349",33,"so that there may still be something going on!"""
"350",34,"Come now; do you not understand even this truth"
"351",34,"that a bad example reacts on the agent? Thank the immortal gods that you are teaching cruelty to a person who cannot learn to be cruel. The young character"
"352",34,"which cannot hold fast to righteousness"
"353",34,"must be rescued from the mob; it is too easy to side with the majority. Even Socrates"
"354",34,"Cato"
"355",34,"and Laelius might have been shaken in their moral strength by a crowd that was unlike them; so true it is that none of us"
"356",34,"no matter how much he cultivates his abilities"
"357",34,"can withstand the shock of faults that approach"
"358",34,"as it were"
"359",34,"with so great a retinue. Much harm is done by a single case of indulgence or greed; the familiar friend"
"360",34,"if he be luxurious"
"361",34,"weakens and softens us imperceptibly; the neighbour"
"362",34,"if he be rich"
"363",34,"rouses our covetousness; the companion"
"364",34,"if he be slanderous"
"365",34,"rubs off some of his rust upon us"
"366",34,"even though we be spotless and sincere. What then do you think the effect will be on character"
"367",34,"when the world at large assaults it! You must either imitate or loathe the world."
"368",35,"But both courses are to be avoided; you should not copy the bad simply because they are many"
"369",35,"nor should you hate the many because they are unlike you. Withdraw into yourself"
"370",35,"as far as you can. Associate with those who will make a better man of you. Welcome those whom you yourself can improve. The process is mutual; for men learn while they teach. There is no reason why pride in advertising your abilities should lure you into publicity"
"371",35,"so that you should desire to recite or harangue before the general public. Of course I should be willing for you to do so if you had a stock-in-trade that suited such a mob; as it is"
"372",35,"there is not a man of them who can understand you. One or two individuals will perhaps come in your way"
"373",35,"but even these will have to be moulded and trained by you so that they will understand you. You may say: ""For what purpose did I learn all these things?"" But you need not fear that you have wasted your efforts; it was for yourself that you learned them."
"374",36,"In order"
"375",36,"however"
"376",36,"that I may not to-day have learned exclusively for myself"
"377",36,"I shall share with you three excellent sayings"
"378",36,"of the same general purport"
"379",36,"which have come to my attention. This letter will give you one of them as payment of my debt; the other two you may accept as a contribution in advance. Democritus says: ""One man means as much to me as a multitude"
"380",36,"and a multitude only as much as one man."" The following also was nobly spoken by someone or other"
"381",36,"for it is doubtful who the author was; they asked him what was the object of all this study applied to an art that would reach but very few. He replied: ""I am content with few"
"382",36,"content with one"
"383",36,"content with none at all."" The third saying – and a noteworthy one"
"384",36,"too – is by Epicurus"
"385",36,"written to one of the partners of his studies: ""I write this not for the many"
"386",36,"but for you; each of us is enough of an audience for the other."" Lay these words to heart"
"387",36,"Lucilius"
"388",36,"that you may scorn the pleasure which comes from the applause of the majority. Many men praise you; but have you any reason for being pleased with yourself"
"389",36,"if you are a person whom the many can understand? Your good qualities should face inwards. Farewell."
"390",37,"VIII. On the Philosopher's Seclusion"
"391",38,"""Do you bid me"
"392",38,""" you say"
"393",38,"""shun the throng"
"394",38,"and withdraw from men"
"395",38,"and be content with my own conscience? Where are the counsels of your school"
"396",38,"which order a man to die in the midst of active work?"" As to the course which I seem to you to be urging on you now and then"
"397",38,"my object in shutting myself up and locking the door is to be able to help a greater number. I never spend a day in idleness; I appropriate even a part of the night for study. I do not allow time for sleep but yield to it when I must"
"398",38,"and when my eyes are wearied with waking and ready to fall shut"
"399",38,"I keep them at their task. I have withdrawn not only from men"
"400",38,"but from affairs"
"401",38,"especially from my own affairs; I am working for later generations"
"402",38,"writing down some ideas that may be of assistance to them. There are certain wholesome counsels"
"403",38,"which may be compared to prescriptions of useful drugs; these I am putting into writing; for I have found them helpful in ministering to my own sores"
"404",38,"which"
"405",38,"if not wholly cured"
"406",38,"have at any rate ceased to spread."
"407",39,"I point other men to the right path"
"408",39,"which I have found late in life"
"409",39,"when wearied with wandering. I cry out to them: ""Avoid whatever pleases the throng: avoid the gifts of Chance! Halt before every good which Chance brings to you"
"410",39,"in a spirit of doubt and fear; for it is the dumb animals and fish that are deceived by tempting hopes. Do you call these things the 'gifts' of Fortune? They are snares. And any man among you who wishes to live a life of safety will avoid"
"411",39,"to the utmost of his power"
"412",39,"these limed twigs of her favour"
"413",39,"by which we mortals"
"414",39,"most wretched in this respect also"
"415",39,"are deceived; for we think that we hold them in our grasp"
"416",39,"but they hold us in theirs. Such a career leads us into precipitous ways"
"417",39,"and life on such heights ends in a fall. Moreover"
"418",39,"we cannot even stand up against prosperity when she begins to drive us to leeward; nor can we go down"
"419",39,"either"
"420",39,"'with the ship at least on her course"
"421",39,"' or once for all; Fortune does not capsize us"
"422",39,"– she plunges our bows under and dashes us on the rocks."
"423",40,"""Hold fast"
"424",40,"then"
"425",40,"to this sound and wholesome rule of life; that you indulge the body only so far as is needful for good health. The body should be treated more rigorously"
"426",40,"that it may not be disobedient to the mind. Eat merely to relieve your hunger; drink merely to quench your thirst; dress merely to keep out the cold; house yourself merely as a protection against personal discomfort. It matters little whether the house be built of turf"
"427",40,"or of variously coloured imported marble; understand that a man is sheltered just as well by a thatch as by a roof of gold. Despise everything that useless toil creates as an ornament and an object of beauty. And reflect that nothing except the soul is worthy of wonder; for to the soul"
"428",40,"if it be great"
"429",40,"naught is great."""
"430",41,"When I commune in such terms with myself and with future generations"
"431",41,"do you not think that I am doing more good than when I appear as counsel in court"
"432",41,"or stamp my seal upon a will"
"433",41,"or lend my assistance in the senate"
"434",41,"by word or action"
"435",41,"to a candidate? Believe me"
"436",41,"those who seem to be busied with nothing are busied with the greater tasks; they are dealing at the same time with things mortal and things immortal."
"437",42,"But I must stop"
"438",42,"and pay my customary contribution"
"439",42,"to balance this letter. The payment shall not be made from my own property; for I am still conning Epicurus. I read to-day"
"440",42,"in his works"
"441",42,"the following sentence: ""If you would enjoy real freedom"
"442",42,"you must be the slave of Philosophy."" The man who submits and surrenders himself to her is not kept waiting; he is emancipated on the spot. For the very service of Philosophy is freedom."
"443",43,"It is likely that you will ask me why I quote so many of Epicurus's noble words instead of words taken from our own school. But is there any reason why you should regard them as sayings of Epicurus and not common property? How many poets give forth ideas that have been uttered"
"444",43,"or may be uttered"
"445",43,"by philosophers! I need not touch upon the tragedians and our writers of national drama; for these last are also somewhat serious"
"446",43,"and stand half-way between comedy and tragedy. What a quantity of sagacious verses lie buried in the mime! How many of Publilius's lines are worthy of being spoken by buskin-clad actors"
"447",43,"as well as by wearers of the slipper! I shall quote one verse of his"
"448",43,"which concerns philosophy"
"449",43,"and particularly that phase of it which we were discussing a moment ago"
"450",43,"wherein he says that the gifts of Chance are not to be regarded as part of our possessions:"
"451",44,"Still alien is whatever you have gained"
"452",45,"By coveting."
"453",46,"I recall that you yourself expressed this idea much more happily and concisely:"
"454",47,"What Chance has made yours is not really yours."
"455",48,"And a third"
"456",48,"spoken by you still more happily"
"457",48,"shall not be omitted:"
"458",49,"The good that could be given"
"459",49,"can be removed."
"460",50,"I shall not charge this up to the expense account"
"461",50,"because I have given it to you from your own stock. Farewell."
"462",51,"IX. On Philosophy and Friendship"
"463",52,"You desire to know whether Epicurus is right when"
"464",52,"in one of his letters"
"465",52,"he rebukes those who hold that the wise man is self-sufficient and for that reason does not stand in need of friendships. This is the objection raised by Epicurus against Stilbo and those who believe that the Supreme Good is a soul which is insensible to feeling."
"466",53,"We are bound to meet with a double meaning if we try to express the Greek term ""lack of feeling"" summarily"
"467",53,"in a single word"
"468",53,"rendering it by the Latin word impatientia. For it may be understood in the meaning the opposite to that which we wish it to have. What we mean to express is"
"469",53,"a soul which rejects any sensation of evil; but people will interpret the idea as that of a soul which can endure no evil. Consider"
"470",53,"therefore"
"471",53,"whether it is not better to say ""a soul that cannot be harmed"
"472",53,""" or ""a soul entirely beyond the realm of suffering."" There is this difference between ourselves and the other school: our ideal wise man feels his troubles"
"473",53,"but overcomes them; their wise man does not even feel them. But we and they alike hold this idea"
"474",53,"– that the wise man is self-sufficient. Nevertheless"
"475",53,"he desires friends"
"476",53,"neighbours"
"477",53,"and associates"
